Account Number,Description,2023 ACTUAL,2024 ACTUAL,2025 BUDGET,2026 BUDGET
010-610-58530,C/W MARS SUBSCRIPTION,"8,347.00","8,558.00","8,668.00","8,847.00"
010-630-51130,"WAGES, PART-TIME SECRETARY","4,654.00","4,004.00","6,270.00","6,315.00"
010-630-51140,"WAGES, PART TIME STAFF","21,841.00","21,117.00","24,500.00","24,646.00"
010-630-51150,"WAGES, STIPEND",0.00,0.00,0.00,"1,000.00"
010-630-52000,GENERAL EXPENSES,"2,950.00","4,210.00","4,000.00","4,000.00"
010-630-57900,CONTRACT SERVICES,"7,500.00","7,500.00","12,500.00","10,000.00"
010-691-52000,GENERAL EXPENSES,0.00,0.00,200.00,200.00
010-692-52000,GENERAL EXPENSES,"1,000.00","1,705.00","1,000.00","1,500.00"
010-692-55800,OTHER SUPPLIES,500.00,0.00,500.00,500.00
010-710-59100,PRINCIPAL LONG TERM DEBT,"2,661,229.00","2,678,623.00","2,689,156.00","2,200,000.00"
010-751-59150,INTEREST ON LONG TERM,"710,322.00","600,215.00","497,535.00","394,752.00"
010-900-51700,TOWN SHARE HEALTH INSURANCE,"2,504,213.00","2,539,689.00","2,950,000.00","3,510,500.00"
010-900-51710,TOWN SHARE MEDICARE TAXES,"290,609.00","291,856.00","320,000.00","325,000.00"
010-900-51715,OPEN CONTRIBUTION,"950,000.00","450,000.00","500,000.00","100,000.00"
010-900-51718,HEALTH REIMBURSEMENT ACCOUNT,"31,071.00","19,377.00","49,000.00","59,000.00"
010-900-51719,HEALTH SAVINGS ACCOUNT,"274,275.00","254,656.00","260,000.00","260,000.00"
010-900-51720,OPT OUT PAYMENTS,"83,250.00","97,750.00","100,000.00","100,000.00"
010-910-56300,SICK/VACATION BUYBACK,"27,958.00",0.00,"178,000.00",0.00
010-910-56220,COUNTY RETIREMENT ASSESSMENT,"1,564,366.00","1,848,694.00","2,051,434.00","2,210,647.00"
010-912-56200,CMRPC PLANNING ASSESSMENT,"2,815.00","2,886.00","2,958.00","3,032.00"
010-800-57000,CHERRY SHEET ASSESSMENTS,"74,685.00","77,750.00",0.00,0.00
010-913-51700,EMPLOYEE FRINGE,"8,913.00","9,953.00","20,000.00","20,000.00"
010-945-52000,CASUALTY INSURANCE EXPENSES,"389,409.00","414,393.00","415,000.00","420,000.00"
010-990-59500,OTHER FUNDS,"15,096.00","250,000.00","257,000.00",0.00
010-990-59600,CAPITAL STABILIZATION,"837,941.00","705,140.00","722,768.00","740,739.00"
600-441-51110,SUPT SALARY,"93,046.00","95,372.00","98,233.00","101,180.00"
600-441-51120,"WAGES, LAB TECHNICIAN","119,141.00","121,850.00","129,039.00","135,699.00"
600-441-51130,"WAGES, CLERICAL","33,511.00","35,693.00","37,647.00","38,774.00"
600-441-51310,OVERTIME,"2,509.00","1,061.00","4,000.00","4,000.00"
600-441-51380,"WAGES, LONGEVITY",600.00,0.00,0.00,0.00
600-441-51900,UNIFORM ALLOWANCE,771.00,484.00,"1,650.00","1,650.00"
600-441-52000,GENERAL EXPENSES,"95,179.00","86,061.00","94,415.00","94,415.00"
600-441-52100,ELECTRICITY,"62,985.00","62,480.00","55,000.00","55,000.00"
600-441-52110,TOWN OF MILLBURY,"259,466.00","292,203.00","259,725.00","265,035.00"
600-441-52200,TOWN OF MILLBURY DEBT,"18,422.00","18,422.00","18,422.00","18,421.00"
600-441-52400,REPAIR AND MAINTENANCE,"11,517.00","12,688.00","12,688.00","12,688.00"
600-441-52500,OTHER UTILITIES,"19,979.00","11,599.00","19,000.00","19,000.00"
600-441-53400,TELEPHONE,"6,239.00","5,447.00","8,000.00","8,000.00"
600-441-55800,OTHER SUPPLIES,"4,014.00","4,145.00","5,000.00","5,000.00"
600-441-56200,TRANSFER OUT TO GENERAL FUND,"89,164.00","89,164.00","89,164.00","89,164.00"
600-441-56270,OPEB CONTRIBUTION,"5,000.00","5,000.00","5,000.00","5,000.00"
600-441-57900,CONTRACT SERVICES,"25,181.00","25,290.00","23,000.00","23,000.00"
610-445-51120,WAGES FULL-TIME,"52,491.00","48,930.00","44,008.00","44,917.00"
610-445-51130,"WAGES, PART TIME","6,653.00","6,060.00","11,070.00","8,000.00"
610-445-51310,"WAGES, OVERTIME","8,006.00","5,377.00","2,000.00","6,000.00"
610-445-52000,GENERAL EXPENSES,80.00,663.00,0.00,0.00
610-445-52100,ELECTRICITY,121.00,120.00,700.00,"1,800.00"
610-445-52110,HEATING,0.00,0.00,0.00,0.00
610-445-52400,REPAIR AND MAINTENANCE,931.00,"7,673.00","3,000.00","3,000.00"
610-445-52600,TRASH BAGS,"14,661.00","16,709.00","12,000.00","16,000.00"
610-445-53400,TELEPHONE,"1,385.00","1,690.00","2,000.00","2,000.00"
610-445-53410,POSTAGE,519.00,565.00,0.00,300.00
610-445-54000,HAULING EXPENSE,"17,297.00","15,134.00","18,000.00","18,000.00"
610-445-54100,DISPOSAL FEE,"36,500.00","40,595.00","42,000.00","42,000.00"
610-445-55800,OTHER SUPPLIES,20.00,156.00,0.00,0.00
610-445-59100,TRANSFER OUT TO GENERAL FUND,"22,575.00","22,575.00","22,575.00","22,575.00"
